ORDER_NUM,TRX_DT,RAW_TRX_DT,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2018/12/07","12/7/2018 12:00:00 AM","$11.750","-0.0441","Natural Logarithm ($11.7500 / $12.2800)","=ln(D403/D402)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G403-H403)*(G403-H403)"
"0","2018/12/14","12/14/2018 12:00:00 AM","$11.110","-0.0560","Natural Logarithm ($11.1100 / $11.7500)","=ln(D404/D403)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G404-H404)*(G404-H404)"
"0","2018/12/21","12/21/2018 12:00:00 AM","$10.160","-0.0894","Natural Logarithm ($10.1600 / $11.1100)","=ln(D405/D404)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G405-H405)*(G405-H405)"
"0","2018/12/28","12/28/2018 12:00:00 AM","$10.320","0.0156","Natural Logarithm ($10.3200 / $10.1600)","=ln(D406/D405)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G406-H406)*(G406-H406)"
"0","2019/01/04","1/4/2019 12:00:00 AM","$11.090","0.0720","Natural Logarithm ($11.0900 / $10.3200)","=ln(D407/D406)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G407-H407)*(G407-H407)"
"0","2019/01/11","1/11/2019 12:00:00 AM","$11.330","0.0214","Natural Logarithm ($11.3300 / $11.0900)","=ln(D408/D407)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G408-H408)*(G408-H408)"
"0","2019/01/18","1/18/2019 12:00:00 AM","$11.840","0.0440","Natural Logarithm ($11.8400 / $11.3300)","=ln(D409/D408)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G409-H409)*(G409-H409)"
"0","2019/01/25","1/25/2019 12:00:00 AM","$11.690","-0.0127","Natural Logarithm ($11.6900 / $11.8400)","=ln(D410/D409)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G410-H410)*(G410-H410)"
"0","2019/02/01","2/1/2019 12:00:00 AM","$12.740","0.0860","Natural Logarithm ($12.7400 / $11.6900)","=ln(D411/D410)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G411-H411)*(G411-H411)"
"0","2019/02/08","2/8/2019 12:00:00 AM","$12.600","-0.0110","Natural Logarithm ($12.6000 / $12.7400)","=ln(D412/D411)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G412-H412)*(G412-H412)"
"0","2019/02/15","2/15/2019 12:00:00 AM","$12.650","0.0040","Natural Logarithm ($12.6500 / $12.6000)","=ln(D413/D412)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G413-H413)*(G413-H413)"
