ORDER_NUM,TRX_DT,TRX_DT_RAW,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2016/09/01","9/1/2016 12:00:00 AM","$12.100","0.0711","Natural Logarithm ($12.1000 / $11.2700)","=ln(D29/D28)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G29-H29)*(G29-H29)"
"0","2016/10/01","10/1/2016 12:00:00 AM","$12.010","-0.0075","Natural Logarithm ($12.0100 / $12.1000)","=ln(D30/D29)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G30-H30)*(G30-H30)"
"0","2016/11/01","11/1/2016 12:00:00 AM","$12.270","0.0214","Natural Logarithm ($12.2700 / $12.0100)","=ln(D31/D30)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G31-H31)*(G31-H31)"
"0","2016/12/01","12/1/2016 12:00:00 AM","$13.620","0.1044","Natural Logarithm ($13.6200 / $12.2700)","=ln(D32/D31)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G32-H32)*(G32-H32)"
"0","2017/01/01","1/1/2017 12:00:00 AM","$13.950","0.0239","Natural Logarithm ($13.9500 / $13.6200)","=ln(D33/D32)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G33-H33)*(G33-H33)"
"0","2017/02/01","2/1/2017 12:00:00 AM","$14.250","0.0213","Natural Logarithm ($14.2500 / $13.9500)","=ln(D34/D33)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G34-H34)*(G34-H34)"
"0","2017/03/01","3/1/2017 12:00:00 AM","$15.010","0.0520","Natural Logarithm ($15.0100 / $14.2500)","=ln(D35/D34)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G35-H35)*(G35-H35)"
"0","2017/04/01","4/1/2017 12:00:00 AM","$14.380","-0.0429","Natural Logarithm ($14.3800 / $15.0100)","=ln(D36/D35)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G36-H36)*(G36-H36)"
"0","2017/05/01","5/1/2017 12:00:00 AM","$13.780","-0.0426","Natural Logarithm ($13.7800 / $14.3800)","=ln(D37/D36)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G37-H37)*(G37-H37)"
"0","2017/06/01","6/1/2017 12:00:00 AM","$13.470","-0.0228","Natural Logarithm ($13.4700 / $13.7800)","=ln(D38/D37)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G38-H38)*(G38-H38)"
"0","2017/07/01","7/1/2017 12:00:00 AM","$13.360","-0.0082","Natural Logarithm ($13.3600 / $13.4700)","=ln(D39/D38)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G39-H39)*(G39-H39)"
"0","2017/08/01","8/1/2017 12:00:00 AM","$13.310","-0.0037","Natural Logarithm ($13.3100 / $13.3600)","=ln(D40/D39)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G40-H40)*(G40-H40)"
"0","2017/09/01","9/1/2017 12:00:00 AM","$13.240","-0.0053","Natural Logarithm ($13.2400 / $13.3100)","=ln(D41/D40)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G41-H41)*(G41-H41)"
"0","2017/10/01","10/1/2017 12:00:00 AM","$13.640","0.0298","Natural Logarithm ($13.6400 / $13.2400)","=ln(D42/D41)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G42-H42)*(G42-H42)"
"0","2017/11/01","11/1/2017 12:00:00 AM","$13.680","0.0029","Natural Logarithm ($13.6800 / $13.6400)","=ln(D43/D42)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G43-H43)*(G43-H43)"
"0","2017/12/01","12/1/2017 12:00:00 AM","$14.260","0.0415","Natural Logarithm ($14.2600 / $13.6800)","=ln(D44/D43)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G44-H44)*(G44-H44)"
"0","2018/01/01","1/1/2018 12:00:00 AM","$13.880","-0.0270","Natural Logarithm ($13.8800 / $14.2600)","=ln(D45/D44)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G45-H45)*(G45-H45)"
"0","2018/02/01","2/1/2018 12:00:00 AM","$13.810","-0.0051","Natural Logarithm ($13.8100 / $13.8800)","=ln(D46/D45)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G46-H46)*(G46-H46)"
"0","2018/03/01","3/1/2018 12:00:00 AM","$13.580","-0.0168","Natural Logarithm ($13.5800 / $13.8100)","=ln(D47/D46)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G47-H47)*(G47-H47)"
"0","2018/04/01","4/1/2018 12:00:00 AM","$13.640","0.0044","Natural Logarithm ($13.6400 / $13.5800)","=ln(D48/D47)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G48-H48)*(G48-H48)"
"0","2018/05/01","5/1/2018 12:00:00 AM","$13.450","-0.0140","Natural Logarithm ($13.4500 / $13.6400)","=ln(D49/D48)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G49-H49)*(G49-H49)"
"0","2018/06/01","6/1/2018 12:00:00 AM","$13.430","-0.0015","Natural Logarithm ($13.4300 / $13.4500)","=ln(D50/D49)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G50-H50)*(G50-H50)"
"0","2018/07/01","7/1/2018 12:00:00 AM","$12.790","-0.0488","Natural Logarithm ($12.7900 / $13.4300)","=ln(D51/D50)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G51-H51)*(G51-H51)"
"0","2018/08/01","8/1/2018 12:00:00 AM","$12.610","-0.0142","Natural Logarithm ($12.6100 / $12.7900)","=ln(D52/D51)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G52-H52)*(G52-H52)"
"0","2018/09/01","9/1/2018 12:00:00 AM","$12.800","0.0150","Natural Logarithm ($12.8000 / $12.6100)","=ln(D53/D52)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G53-H53)*(G53-H53)"
"0","2018/10/01","10/1/2018 12:00:00 AM","$12.140","-0.0529","Natural Logarithm ($12.1400 / $12.8000)","=ln(D54/D53)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G54-H54)*(G54-H54)"
"0","2018/11/01","11/1/2018 12:00:00 AM","$11.330","-0.0691","Natural Logarithm ($11.3300 / $12.1400)","=ln(D55/D54)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G55-H55)*(G55-H55)"
"0","2018/12/01","12/1/2018 12:00:00 AM","$12.280","0.0805","Natural Logarithm ($12.2800 / $11.3300)","=ln(D56/D55)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G56-H56)*(G56-H56)"
"0","2019/01/01","1/1/2019 12:00:00 AM","$10.400","-0.1662","Natural Logarithm ($10.4000 / $12.2800)","=ln(D57/D56)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G57-H57)*(G57-H57)"
"0","2019/02/01","2/1/2019 12:00:00 AM","$12.740","0.2029","Natural Logarithm ($12.7400 / $10.4000)","=ln(D58/D57)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G58-H58)*(G58-H58)"
"0","2019/03/01","3/1/2019 12:00:00 AM","$12.590","-0.0118","Natural Logarithm ($12.5900 / $12.7400)","=ln(D59/D58)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G59-H59)*(G59-H59)"
"0","2019/04/01","4/1/2019 12:00:00 AM","$12.100","-0.0397","Natural Logarithm ($12.1000 / $12.5900)","=ln(D60/D59)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G60-H60)*(G60-H60)"
"0","2019/05/01","5/1/2019 12:00:00 AM","$11.640","-0.0388","Natural Logarithm ($11.6400 / $12.1000)","=ln(D61/D60)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G61-H61)*(G61-H61)"
